#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
691,Darwinzon Hernandez,BOS,6.2,-3.31, , , , ,-12.46,2.37, , , ,2022.0,2022-01-01
692,Andre Jackson,LAD,9.2,-3.31,-0.33, , ,1.86, ,21.17, , , ,2022.0,2022-01-01
693,Justin Grimm,OAK,15.1,-3.34, , , , ,1.27,-1.18, , , ,2022.0,2022-01-01
694,Anthony Banda,- - -,26.2,-3.34, , ,1.00,-2.54, ,-2.22, , , ,2022.0,2022-01-01
695,Gabe Speier,KCR,19.1,-3.34, , ,2.69,-2.27,2.40, , , , ,2022.0,2022-01-01
696,Joely Rodriguez,NYM,50.1,-3.36, , ,1.26,1.08,-3.17, , , , ,2022.0,2022-01-01
697,Thomas Szapucki,- - -,15.0,-3.39, , , ,-16.81, ,0.03, , , ,2022.0,2022-01-01
698,Miguel Yajure,PIT,24.1,-3.41,-13.83, ,-7.44,0.29,0.44,0.41, , , ,2022.0,2022-01-01
699,Anthony Bender,MIA,19.1,-3.42, , ,1.50,2.03,-0.92, , , , ,2022.0,2022-01-01
700,Jimmy Herget,LAA,69.0,-3.43, , ,-0.82,3.16,3.33,1.83, , , ,2022.0,2022-01-01
701,Andrew Nardi,MIA,14.2,-3.44, , , ,-1.92,-2.70, , , , ,2022.0,2022-01-01
702,Chris Devenski,- - -,14.2,-3.44, , , ,0.11,-6.06,-0.50, , , ,2022.0,2022-01-01
703,Francisco Perez,WSN,8.2,-3.45, , , ,-38.84,1.61,-1.83, , , ,2022.0,2022-01-01
704,Michael Kelly,PHI,4.0,-3.45,9.11, , , ,-0.10, , , , ,2022.0,2022-01-01
705,Heath Hembree,- - -,22.0,-3.46,-0.39, , , ,-0.43,-10.73, , , ,2022.0,2022-01-01
706,Darick Hall,PHI,0.1,-3.47, , , , , , , , , ,2022.0,2022-01-01
707,Max Meyer,MIA,6.0,-3.47, , , ,-7.01,-1.28, , , , ,2022.0,2022-01-01
708,William Woods,ATL,2.0,-3.56, , , , ,13.10, , , , ,2022.0,2022-01-01
709,Jared Solomon,CIN,8.1,-3.57, , , ,-3.75,0.47, , , , ,2022.0,2022-01-01
710,Julian Merryweather,TOR,26.2,-3.60, , , ,1.94,2.00,2.52, , , ,2022.0,2022-01-01
711,Xzavion Curry,CLE,9.1,-3.65, , , ,5.42,3.39,-5.32, , , ,2022.0,2022-01-01
