Name,GS,Team,Type
Sean Manaea,28.0,SDP,Starter
JoJo Romero,0.0,- - -,Reliever
Amir Garrett,0.0,KCR,Reliever
Jake Diekman,0.0,- - -,Reliever
Ian Anderson,22.0,ATL,Starter
Shane Baz,6.0,TBR,Reliever
Javy Guerra,0.0,- - -,Reliever
James Naile,0.0,STL,Reliever
German Marquez,31.0,COL,Starter
Jose Urena,17.0,- - -,Starter
Pierce Johnson,0.0,SDP,Reliever
Josiah Gray,28.0,WSN,Starter
Matt Swarmer,5.0,CHC,Reliever
Trevor May,0.0,NYM,Reliever
Kyle Gibson,31.0,PHI,Starter
Antonio Senzatela,19.0,COL,Starter
Zack Littell,0.0,SFG,Reliever
Brad Keller,22.0,KCR,Starter
Alex Wood,26.0,SFG,Starter
Daniel Lynch,27.0,KCR,Starter
Josh Rogers,3.0,WSN,Reliever
Taylor Hearn,13.0,TEX,Starter
Tyler Danish,0.0,BOS,Reliever
Tylor Megill,9.0,NYM,Reliever
Tyler Beede,5.0,- - -,Reliever
Jackson Tetreault,4.0,WSN,Reliever
Kirby Yates,0.0,ATL,Reliever
Daniel Mengden,1.0,KCR,Reliever
Zach Thompson,22.0,PIT,Starter
Yusei Kikuchi,20.0,TOR,Starter
Daniel Norris,3.0,- - -,Reliever
Dennis Santana,1.0,TEX,Reliever
Jordan Weems,0.0,WSN,Reliever
Josh Hader,0.0,- - -,Reliever
Noe Ramirez,0.0,ARI,Reliever
Jose Berrios,32.0,TOR,Starter
Tyler Gilbert,7.0,ARI,Reliever
Cory Abbott,9.0,WSN,Reliever
Steven Matz,10.0,STL,Reliever
Garrett Richards,2.0,TEX,Reliever
J.B. Wendelken,0.0,ARI,Reliever
Jon Heasley,21.0,KCR,Starter
Jose Alvarez,0.0,SFG,Reliever
Cole Sulser,0.0,MIA,Reliever
Keynan Middleton,0.0,ARI,Reliever
Trevor Richards,4.0,TOR,Reliever
Tommy Henry,9.0,ARI,Reliever
Ian Kennedy,0.0,ARI,Reliever
Casey Mize,2.0,DET,Reliever
Tommy Milone,0.0,SEA,Reliever
Luke Farrell,2.0,- - -,Reliever
Anderson Espinoza,0.0,CHC,Reliever
Jason Alexander,11.0,MIL,Reliever
Bryan Shaw,2.0,CLE,Reliever
Ryan Hendrix,0.0,CIN,Reliever
Sean Reid-Foley,0.0,NYM,Reliever
Matt Peacock,0.0,- - -,Reliever
Dauri Moreta,1.0,CIN,Reliever
Nicholas Padilla,0.0,CHC,Reliever
Robert Stephenson,0.0,- - -,Reliever
Yunior Marte,0.0,SFG,Reliever
Mitch White,18.0,- - -,Starter
Trevor Rogers,23.0,MIA,Starter
Kutter Crawford,12.0,BOS,Starter
Calvin Faucher,0.0,TBR,Reliever
Tony Santillan,0.0,CIN,Reliever
Bryse Wilson,20.0,PIT,Starter
Alex Faedo,12.0,DET,Starter
Austin Gomber,17.0,COL,Starter
Greg Weissert,0.0,NYY,Reliever
Kris Bubic,27.0,KCR,Starter
Juan Minaya,0.0,MIN,Reliever
Cristopher Sanchez,3.0,PHI,Reliever
Austin Warren,0.0,LAA,Reliever
Jacob Barnes,0.0,- - -,Reliever
Eric Stout,0.0,- - -,Reliever
Drew Steckenrider,0.0,SEA,Reliever
Hyun-Jin Ryu,6.0,TOR,Reliever
Humberto Castellanos,9.0,ARI,Reliever
Luis Gonzalez,0.0,SFG,Reliever
Mike Mayers,3.0,LAA,Reliever
Kodi Whitley,0.0,STL,Reliever
Ryan Borucki,0.0,- - -,Reliever
Justin Lawrence,0.0,COL,Reliever
Chad Kuhl,27.0,COL,Starter
Daulton Jefferies,8.0,OAK,Reliever
Jared Koenig,5.0,OAK,Reliever
Dusten Knight,0.0,TBR,Reliever
Yoan Lopez,0.0,NYM,Reliever
Alex Colome,0.0,COL,Reliever
