#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
156,Michael Kopech,CHW,5,9,0,25,25,119.1,7.92,4.30,1.13,.223,74.2%,35.7%,9.4%,95.1,3.54,3.94,4.50,4.83,1.0
52,Justin Steele,CHC,4,7,0,24,24,119.0,9.53,3.78,0.61,.317,72.6%,51.2%,8.7%,92.4,3.18,3.59,3.21,3.48,2.6
44,Tarik Skubal,DET,7,8,0,21,21,117.2,8.95,2.45,0.69,.299,67.5%,45.7%,7.9%,94.2,3.52,3.34,2.96,3.40,2.9
220,Kyle Bradish,BAL,4,7,0,23,23,117.2,8.49,3.52,1.30,.311,70.2%,45.6%,14.9%, ,4.90,4.49,4.46,4.01,0.7
673,Bryse Wilson,PIT,3,9,0,25,20,115.2,6.15,2.49,1.56,.304,64.1%,43.3%,14.8%,92.9,5.52,5.53,5.06,4.54,-0.1
201,Keegan Thompson,CHC,10,5,1,29,17,115.0,8.45,3.37,1.25,.282,76.2%,40.9%,12.3%,93.8,3.76,4.46,4.40,4.27,0.8
288,Mike Clevinger,SDP,7,7,0,23,22,114.1,7.16,2.76,1.57,.249,76.5%,35.2%,12.6%,93.5,4.33,4.65,4.98,4.76,0.4
654,Paolo Espino,WSN,0,9,0,42,19,113.1,7.31,1.91,1.91,.310,75.4%,39.1%,16.0%,88.5,4.84,4.78,4.93,4.14,-0.1
135,Jakob Junis,SFG,5,7,0,23,17,112.0,7.88,2.01,1.04,.317,70.3%,43.1%,11.2%,92.0,4.42,4.17,3.65,3.67,1.3
180,Ian Anderson,ATL,10,6,0,22,22,111.2,7.82,4.35,0.97,.313,69.8%,47.9%,11.7%,93.9,5.00,4.37,4.25,4.22,0.9
207,Paul Blackburn,OAK,7,6,0,21,21,111.1,7.19,2.43,1.21,.290,74.2%,47.4%,13.9%,91.7,4.28,4.14,4.21,3.89,0.8
163,Nathan Eovaldi,BOS,6,3,0,20,20,109.1,8.48,1.65,1.73,.298,76.0%,47.0%,17.2%,95.9,3.87,4.31,4.30,3.46,1.0
97,Jose Suarez,LAA,8,8,0,22,20,109.0,8.50,2.72,1.16,.289,75.6%,41.3%,11.8%,92.8,3.96,3.67,3.91,3.86,1.6
254,Andre Pallante,STL,6,5,0,47,10,108.0,6.08,3.33,0.75,.311,81.3%,63.9%,15.3%,95.3,3.17,3.78,3.98,3.71,0.6
184,Aaron Ashby,MIL,2,10,1,27,19,107.1,10.57,3.94,1.26,.324,70.3%,56.9%,19.7%,95.9,4.44,3.75,4.06,3.30,0.9
210,Trevor Rogers,MIA,4,11,0,23,23,107.0,8.92,3.79,1.26,.330,66.9%,42.0%,13.2%,94.6,5.47,4.84,4.36,4.11,0.8
138,Drew Smyly,CHC,7,8,0,22,22,106.1,7.70,2.20,1.35,.275,78.5%,40.1%,11.7%, ,3.47,4.17,4.23,4.18,1.3
139,Jake Odorizzi,- - -,6,6,0,22,22,106.1,7.28,2.96,1.18,.292,69.1%,31.7%,9.2%,92.2,4.40,4.11,4.28,4.70,1.3
286,Nick Martinez,SDP,4,4,8,47,10,106.1,8.04,3.47,1.27,.276,80.8%,47.4%,14.4%,93.5,3.47,3.83,4.43,4.04,0.5
115,David Peterson,NYM,7,5,0,28,19,105.2,10.73,4.09,0.94,.313,73.9%,49.4%,15.1%,93.7,3.83,3.94,3.64,3.31,1.4
188,Spenser Watkins,BAL,5,6,0,23,20,105.1,5.38,2.56,0.94,.308,68.3%,41.5%,8.6%,91.6,4.70,5.07,4.24,4.68,0.9
