Name,Type,NewTeamoffSeason21,NewTeamDeadline22,DateDeadline,NewTeam,LatestTeamName
Daniel Lynch,Starter,No,No,9/1/2022,No,KCR
Daniel Mengden,Reliever,No,No,9/1/2022,No,KCR
Daniel Norris,Reliever,No,Yes,9/1/2022,Yes,DET
Danny Coulombe,Reliever,No,No,5/1/2022,No,MIN
Danny Young,Reliever,No,Yes,8/1/2022,Yes,ATL
Dany Jimenez,Reliever,No,No,8/1/2022,No,OAK
Darick Hall,Reliever,No,No,8/1/2022,No,PHI
Darin Ruf,Reliever,No,No,8/1/2022,No,NYM
Darren O'Day,Reliever,No,No,7/1/2022,No,ATL
Darwinzon Hernandez,Reliever,No,No,8/1/2022,No,BOS
Daulton Jefferies,Reliever,No,No,5/1/2022,No,OAK
Dauri Moreta,Reliever,No,No,9/1/2022,No,CIN
David Bednar,Reliever,No,No,9/1/2022,No,PIT
David McKay,Reliever,No,Yes,5/1/2022,Yes,NYY
David Peterson,Starter,No,No,9/1/2022,No,NYM
David Phelps,Reliever,No,No,9/1/2022,No,TOR
David Price,Reliever,No,No,9/1/2022,No,LAD
David Robertson,Reliever,No,Yes,9/1/2022,Yes,PHI
Davis Martin,Reliever,No,No,9/1/2022,No,CHW
Dean Kremer,Starter,No,No,9/1/2022,No,BAL
Dee Strange-Gordon,Reliever,No,No,4/1/2022,No,WSN
Dennis Santana,Reliever,No,No,9/1/2022,No,TEX
Denyi Reyes,Reliever,No,No,6/1/2022,No,BAL
Dereck Rodriguez,Reliever,No,No,9/1/2022,No,MIN
Derek Law,Reliever,No,Yes,9/1/2022,Yes,CIN
Devin Smeltzer,Starter,No,No,8/1/2022,No,MIN
Devin Williams,Reliever,No,No,9/1/2022,No,MIL
Diego Castillo,Reliever,No,Yes,9/1/2022,Yes,SEA
Dillon Tate,Reliever,No,No,9/1/2022,No,BAL
Dinelson Lamet,Reliever,No,Yes,9/1/2022,Yes,COL
DL Hall,Reliever,No,No,9/1/2022,No,BAL
