Name,Team,K-BB%
Nabil Crismatt,SDP,15.316666666666668
Nash Walters,LAA,-33.3
Nate Fisher,NYM,-9.1
Nathan Eovaldi,BOS,17.533333333333335
Nestor Cortes,NYY,20.883333333333333
Nicholas Padilla,CHC,-11.1
Nick Duron,PHI,25.0
Nick Gordon,MIN,-12.966666666666667
Nick Lodolo,CIN,20.575
Nick Martinez,SDP,12.283333333333333
Nick Maton,PHI,0.0
Nick Mears,PIT,12.5
Nick Neidert,MIA,15.0
Nick Nelson,PHI,10.633333333333333
Nick Pivetta,BOS,12.35
Nick Sandlin,CLE,10.65
Nick Vespi,BAL,21.3
Nick Wittgren,STL,5.366666666666667
Nicklaus Snyder,TEX,-42.9
Nicky Lopez,KCR,0.0
Noah Davis,COL,14.3
Noah Syndergaard,LAA,12.625
Noah Syndergaard,PHI,9.649999999999999
Noe Ramirez,ARI,12.36
Norge Ruiz,OAK,14.25
Oliver Ortega,LAA,17.76
Oliver Perez,ARI,0.0
Orlando Arcia,ATL,-25.0
Pablo Lopez,MIA,16.616666666666667
Pablo Reyes,MIL,0.0
Packy Naughton,STL,11.983333333333334
Paolo Espino,WSN,13.75
Parker Markel,OAK,-11.1
Parker Mushinski,HOU,12.2
Patrick Corbin,WSN,11.049999999999999
Patrick Murphy,WSN,-11.8
Patrick Sandoval,LAA,15.050000000000002
Paul Blackburn,OAK,12.919999999999998
Paul Fry,BAL,11.149999999999999
Paul Fry,ARI,0.0
Paul Sewald,SEA,23.95
Pedro Avila,SDP,22.2
Pedro Baez,HOU,-6.3
Penn Murfee,SEA,21.416666666666668
Pete Fairbanks,TBR,38.733333333333334
Peter Strzelecki,MIL,17.825
Phil Bickford,LAD,20.233333333333334
Phil Gosselin,LAA,0.0
Phil Maton,HOU,17.466666666666665
Phillip Diehl,CIN,0.0
Phillips Valdez,BOS,-1.675
Phoenix Sanders,TBR,32.5
Pierce Johnson,SDP,20.85
R.J. Alvarez,NYM,-7.7
Rafael Montero,HOU,19.083333333333332
Raisel Iglesias,ATL,23.35
Raisel Iglesias,LAA,27.45
Ralph Garza,TBR,-1.52
Randal Grichuk,COL,0.0
Ranger Suarez,PHI,11.483333333333334
Ray Kerr,SDP,-7.300000000000001
Raynel Espinal,CIN,19.0
Reed Garrett,WSN,-0.5999999999999996
Reese McGuire,BOS,0.0
Reid Detmers,LAA,13.983333333333334
Reiss Knehr,SDP,5.975
Reiver Sanmartin,CIN,3.983333333333333
Reyes Moronta,LAD,20.325
Reyes Moronta,ARI,3.9
Reyes Moronta,- - -,16.7
Reynaldo Lopez,CHW,20.65
Rich Hill,BOS,10.983333333333334
Richard Bleier,MIA,9.966666666666667
Rico Garcia,BAL,-7.824999999999999
Riley O'Brien,SEA,0.0
Roansy Contreras,PIT,13.133333333333333
Rob Zastryzny,NYM,25.0
Rob Zastryzny,LAA,8.3
Robbie Erlin,LAD,0.0
Robbie Ray,SEA,19.666666666666668
