Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Freddy Tarnok,,33.3,33.3,0
Gabe Speier,,8.666666667,8.666666667,0
Garrett Hill,,4.866666667,4.866666667,0
Garrett Richards,,12.92,12.92,0
Garrett Stubbs,,1.4,1.4,0
Garrett Whitlock,,22.53333333,22.53333333,0
Gavin Hollowell,,12.5,12.5,0
Genesis Cabrera,,6.38,6.38,0
George Kirby,,20.62,20.62,0
Gerardo Reyes,,-25,-25,0
German Marquez,,11.21666667,11.21666667,0
Gerrit Cole,,25.76666667,25.76666667,0
Giovanny Gallegos,,22.58333333,22.58333333,0
Glenn Otto,,6.633333333,6.633333333,0
Graham Ashcraft,,6.72,6.72,0
Greg Holland,,20,20,0
Greg Weissert,,13.65,13.65,0
Gregory Santos,,1.65,1.65,0
Gregory Soto,,10.53333333,10.53333333,0
Griffin Jax,,20.58333333,20.58333333,0
Hansel Robles,,0.7,0.7,0
Hanser Alberto,,-3.175,-3.175,0
Harold Castro,,0,0,0
Hayden Wesneski,,19.7,19.7,0
Hector Neris,,23.41666667,23.41666667,0
Hirokazu Sawamura,,7.12,7.12,0
Hoby Milner,,17.41666667,17.41666667,0
Huascar Brazoban,,17.2,17.2,0
Huascar Ynoa,,5.4,5.4,0
Humberto Castellanos,,8.4,8.4,0
Hunter Brown,,18.8,18.8,0
Hunter Dozier,,-16.7,-16.7,0
Hunter Gaddis,,4.75,4.75,0
Hunter Greene,,24.01666667,24.01666667,0
Hunter Harvey,,23.025,23.025,0
Hunter Strickland,,9.133333333,9.133333333,0
Hyun-Jin Ryu,,13.9,13.9,0
Ian Anderson,,8.06,8.06,0
Ian Hamilton,,-9.1,-9.1,0
Ian Kennedy,,10.8,10.8,0
Ildemaro Vargas,,0,0,0
J.B. Wendelken,,-0.025,-0.025,0
J.P. Feyereisen,,13.16666667,13.16666667,0
JC Mejia,,-25,-25,0
JT Brubaker,,14.33333333,14.33333333,0
JT Chargois,,24.76666667,24.76666667,0
Jace Peterson,,0,0,0
Jack Flaherty,,2.05,2.05,0
Jack Mayfield,,0,0,0
Jackie Bradley Jr.,,-28.6,-28.6,0
Jackson Kowar,,10.23333333,10.23333333,0
Jackson Stephens,,10.51666667,10.51666667,0
Jackson Tetreault,,-7.5,-7.5,0
