Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Trevor May,2021,NYM,29.70%,59.00%,2.92,22.20%,0.5,Reliever,No
Trevor May,2022,NYM,30.50%,52.30%,-0.95,18.90%,0.1,Reliever,No
Trevor Megill,2021,CHC,26.70%,56.50%,-14.87,19.10%,-0.3,Reliever,No
Trevor Megill,2022,MIN,27.00%,62.80%,-6.39,16.30%,0.4,Reliever,No
Trevor Richards,2021,- - -,28.50%,57.40%,12.85,22.30%,0.2,Reliever,No
Trevor Richards,2022,TOR,28.90%,53.40%,-11.46,16.70%,0.2,Reliever,No
Trevor Rogers,2021,MIA,30.40%,56.90%,21.88,20.20%,4.2,Starter,No
Trevor Rogers,2022,MIA,26.00%,61.40%,-17.88,12.80%,0.8,Starter,No
Trevor Stephan,2021,CLE,27.80%,58.50%,1.27,15.60%,-0.5,Reliever,No
Trevor Stephan,2022,CLE,31.50%,64.40%,4.1,24.00%,1.7,Reliever,No
Trevor Williams,2021,- - -,26.80%,67.70%,-6.02,14.60%,1.1,Reliever,No
Trevor Williams,2022,NYM,24.90%,68.30%,1.79,16.40%,0.6,Reliever,No
Triston McKenzie,2021,CLE,27.20%,63.00%,-1.87,15.80%,1.2,Starter,No
Triston McKenzie,2022,CLE,27.60%,62.50%,25.86,19.70%,3.6,Starter,No
Tucker Davidson,2021,ATL,27.40%,55.40%,2.43,12.00%,0.2,Reliever,No
Tucker Davidson,2022,- - -,24.60%,53.50%,-13.31,-0.80%,-0.3,Reliever,No
Tyler Alexander,2021,DET,24.90%,65.60%,10.04,13.10%,1,Starter,No
Tyler Alexander,2022,DET,23.40%,66.50%,-13.64,8.40%,-0.1,Starter,No
Tyler Anderson,2021,- - -,26.70%,68.70%,-4.11,13.70%,2.1,Starter,Yes
Tyler Anderson,2022,LAD,28.10%,66.10%,29.05,14.70%,4,Starter,Yes
Tyler Beede,2021,SFG,25.00%,33.30%,-2.53,33.30%,0,Reliever,No
Tyler Beede,2022,- - -,24.70%,55.10%,-5.54,3.50%,-0.2,Reliever,No
Tyler Clippard,2021,ARI,24.10%,53.20%,-0.55,9.00%,-0.1,Reliever,No
Tyler Clippard,2022,WSN,25.70%,39.30%,-1.51,0.00%,-0.1,Reliever,No
Tyler Duffey,2021,MIN,27.70%,61.80%,9.42,13.00%,0.7,Reliever,No
Tyler Duffey,2022,MIN,26.70%,60.00%,-6.09,13.00%,-0.5,Reliever,No
Tyler Gilbert,2021,ARI,23.00%,61.10%,3.93,7.60%,0.5,Reliever,No
Tyler Gilbert,2022,ARI,25.00%,60.30%,-4.05,6.80%,-0.3,Reliever,No
Tyler Glasnow,2021,TBR,33.70%,62.40%,17.25,28.20%,2.6,Reliever,No
Tyler Glasnow,2022,TBR,31.60%,73.10%,2.3,30.80%,0.1,Reliever,No
Tyler Kinley,2021,COL,26.50%,60.30%,1.62,14.20%,0.2,Reliever,No
Tyler Kinley,2022,COL,29.40%,57.00%,8.06,21.00%,0.9,Reliever,No
Tyler Mahle,2021,CIN,29.30%,64.00%,20.84,19.20%,3.8,Starter,No
Tyler Mahle,2022,- - -,28.40%,61.60%,4.69,16.50%,2.1,Starter,No
Tyler Matzek,2021,ATL,25.60%,53.80%,15.15,15.20%,1.1,Reliever,No
Tyler Matzek,2022,ATL,24.30%,56.50%,4.27,3.80%,-0.1,Reliever,No
Tyler Rogers,2021,SFG,26.60%,64.40%,16.39,12.90%,1.3,Reliever,No
Tyler Rogers,2022,SFG,29.00%,63.90%,-0.73,8.20%,0.6,Reliever,No
Tyler Wells,2021,BAL,27.10%,67.00%,2.08,23.70%,0.9,Starter,No
Tyler Wells,2022,BAL,26.50%,61.90%,1.89,11.30%,0.9,Starter,No
Tylor Megill,2021,NYM,26.80%,67.50%,-4.7,19.00%,0.6,Reliever,No
Tylor Megill,2022,NYM,26.70%,62.50%,-2.28,19.00%,0.6,Reliever,No
Vince Velasquez,2021,- - -,27.00%,61.20%,-16.06,12.50%,-0.3,Reliever,Yes
Vince Velasquez,2022,CHW,28.00%,62.40%,-9.39,13.80%,0.4,Reliever,Yes
Vinny Nittoli,2021,SEA,19.20%,33.30%,-1.52,-16.70%,-0.1,Reliever,No
Vinny Nittoli,2022,PHI,25.00%,37.50%,0.97,0.00%,0,Reliever,No
Vladimir Gutierrez,2021,CIN,26.40%,61.10%,1.64,8.50%,0.7,Reliever,No
Vladimir Gutierrez,2022,CIN,24.30%,54.70%,-13.65,2.80%,-0.5,Reliever,No
Wade Miley,2021,CIN,25.40%,57.80%,18.94,10.90%,3,Reliever,No
Wade Miley,2022,CHC,29.20%,66.00%,-2.29,8.80%,0.5,Reliever,No
Walker Buehler,2021,LAD,29.60%,65.40%,43.32,19.60%,5.5,Starter,No
Walker Buehler,2022,LAD,26.20%,62.00%,2.23,15.00%,1,Starter,No
Wandy Peralta,2021,- - -,29.20%,63.90%,0.08,10.00%,0.2,Reliever,No
Wandy Peralta,2022,NYY,27.80%,58.70%,9.39,13.50%,1,Reliever,No
Wil Crowe,2021,PIT,25.50%,54.20%,-18.44,10.30%,-0.2,Reliever,No
Wil Crowe,2022,PIT,27.10%,56.90%,-2.14,9.00%,-0.1,Reliever,No
Will Smith,2021,ATL,31.40%,63.30%,6.32,20.80%,0.4,Reliever,No
Will Smith,2022,- - -,30.70%,66.30%,-4.03,15.30%,-0.1,Reliever,No
Will Vest,2021,SEA,25.00%,64.70%,-4.77,5.80%,0.1,Reliever,No
Will Vest,2022,DET,26.50%,61.80%,-0.52,15.10%,0.4,Reliever,No
Willians Astudillo,2021,MIN,21.60%,37.50%,1.17,-12.50%,-0.1,Reliever,No
Willians Astudillo,2022,MIA,13.00%,42.90%,1.02,-28.60%,0,Reliever,No
Wily Peralta,2021,DET,23.70%,55.00%,7.95,5.00%,0.6,Reliever,No
Wily Peralta,2022,DET,25.40%,57.10%,4.55,4.80%,0,Reliever,No
Wyatt Mills,2021,SEA,27.00%,57.80%,-9.64,6.30%,0,Reliever,No
Wyatt Mills,2022,- - -,27.40%,53.10%,-3.35,10.20%,0.2,Reliever,No
Yency Almonte,2021,COL,26.50%,54.80%,-11.51,8.30%,-0.5,Reliever,No
Yency Almonte,2022,LAD,33.30%,60.70%,12.28,17.00%,0.5,Reliever,No
Yimi Garcia,2021,- - -,29.60%,58.60%,-0.93,17.70%,0.4,Reliever,No
Yimi Garcia,2022,TOR,26.90%,61.50%,6.25,17.00%,0.9,Reliever,No
Yoan Lopez,2021,ARI,26.50%,63.90%,-3.37,11.50%,-0.2,Reliever,No
Yoan Lopez,2022,NYM,26.70%,56.90%,-2.73,9.80%,-0.1,Reliever,No
Yohan Ramirez,2021,SEA,33.30%,54.40%,-2.36,20.20%,-0.1,Reliever,No
Yohan Ramirez,2022,- - -,27.70%,56.90%,1.16,7.20%,-0.2,Reliever,No
Yu Darvish,2021,SDP,30.30%,60.60%,0.34,22.80%,2.9,Starter,No
Yu Darvish,2022,SDP,29.60%,64.20%,29.62,20.80%,4.2,Starter,No
Yusei Kikuchi,2021,SEA,28.80%,62.80%,-2.47,15.20%,1.1,Starter,Yes
Yusei Kikuchi,2022,TOR,27.60%,57.30%,-19.71,14.50%,-0.7,Starter,Yes
Zac Gallen,2021,ARI,27.00%,61.60%,1.52,17.20%,1.4,Starter,No
Zac Gallen,2022,ARI,27.80%,64.60%,38.68,20.30%,4.3,Starter,No
Zac Lowther,2021,BAL,28.50%,61.60%,-5.33,12.30%,0.1,Reliever,No
Zac Lowther,2022,BAL,25.00%,46.40%,-4.92,-3.60%,0,Reliever,No
Zach Davies,2021,CHC,26.00%,52.40%,-21.51,5.80%,-0.1,Starter,Yes
Zach Davies,2022,ARI,26.70%,55.80%,1.65,8.80%,0.5,Starter,Yes
Zach Eflin,2021,PHI,28.30%,66.10%,4.88,18.80%,2.1,Starter,No
Zach Eflin,2022,PHI,27.60%,67.10%,1.6,16.00%,1.4,Starter,No
Zach Plesac,2021,CLE,26.30%,65.90%,-1.98,11.00%,1.1,Starter,No
Zach Plesac,2022,CLE,24.20%,61.40%,-9.09,10.90%,0.9,Starter,No
Zach Pop,2021,MIA,26.20%,51.60%,-8.87,11.00%,0.3,Reliever,No
Zach Pop,2022,- - -,25.00%,61.10%,6.49,13.40%,0.5,Reliever,No
Zach Thompson,2021,MIA,27.10%,60.60%,0.85,12.10%,1.3,Starter,No
Zach Thompson,2022,PIT,26.30%,63.00%,-15.63,8.10%,0.2,Starter,No
Zack Britton,2021,NYY,23.10%,52.40%,-2.85,2.40%,-0.2,Reliever,No
Zack Britton,2022,NYY,23.10%,33.30%,-3.23,-55.60%,-0.2,Reliever,No
Zack Greinke,2021,HOU,26.70%,66.00%,3.74,12.10%,1.3,Starter,Yes
Zack Greinke,2022,KCR,25.00%,64.80%,2.21,7.90%,1.9,Starter,Yes
Zack Littell,2021,SFG,26.20%,60.30%,5.19,15.50%,0.3,Reliever,No
Zack Littell,2022,SFG,26.10%,65.80%,-4.98,13.70%,-0.3,Reliever,No
Zack Wheeler,2021,PHI,28.00%,66.80%,39.57,23.70%,7.2,Starter,No
Zack Wheeler,2022,PHI,27.70%,67.20%,22.68,21.30%,4.1,Starter,No
