Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
Cam Vieaux,PIT,Reliever,25.366666666666664,61.4,-3.043333333333333,0.0333333333333333,17.73333333333333,-0.0,-0.0,-0.0
Camilo Doval,SFG,Reliever,29.73333333333333,53.7,0.8066666666666666,0.2166666666666666,17.3,-0.0,-0.0,-0.0
Carl Edwards Jr.,WSN,Reliever,26.860000000000003,61.74,1.964,0.02,11.98,-0.0,-0.0,-0.0
Carlos Carrasco,NYM,Starter,27.383333333333336,67.43333333333334,0.58,0.4166666666666667,17.666666666666668,-0.0,-0.0,-0.0
Carlos Estevez,COL,Reliever,21.066666666666663,60.86666666666667,0.53,0.0833333333333333,12.0,-0.0,-0.0,-0.0
Carlos Hernandez,KCR,Reliever,24.72,58.56,-3.9820000000000007,-0.04,3.7,-0.0,-0.0,-0.0
Carlos Rodon,SFG,Starter,30.53333333333333,61.56666666666666,4.548333333333333,1.0666666666666669,26.683333333333334,-0.0,-0.0,-0.0
Carson Kelly,ARI,Reliever,15.175,57.725,-0.7925,-0.025,-6.35,-0.0,-0.0,-0.0
Casey Lawrence,TOR,Reliever,22.7,75.225,-1.7625,-0.1,7.225,-0.0,-0.0,-0.0
Casey Mize,DET,Reliever,21.9,57.8,-1.11,0.1,4.4,-0.0,-0.0,-0.0
Cesar Valdez,LAA,Reliever,6.3,60.0,-2.72,0.0,0.0,-0.0,-0.0,-0.0
Chad Green,NYY,Reliever,26.8,68.75,0.455,0.15,21.55,-0.0,-0.0,-0.0
Chad Kuhl,COL,Starter,25.766666666666666,60.48333333333333,-2.93,0.1333333333333333,8.35,-0.0,-0.0,-0.0
Chad Pinder,OAK,Reliever,15.4,42.9,-2.56,0.0,-28.6,-0.0,-0.0,-0.0
Chad Smith,COL,Reliever,32.2,45.175,-2.715,-0.025,13.975,-0.0,-0.0,-0.0
Charlie Culberson,TEX,Reliever,17.9,56.65,0.495,0.0,-10.0,-0.0,-0.0,-0.0
Charlie Morton,ATL,Starter,30.25,58.833333333333336,0.0283333333333332,0.2333333333333333,18.883333333333333,-0.0,-0.0,-0.0
Chase Anderson,CIN,Reliever,22.65,61.0,-2.055,0.0,4.5,-0.0,-0.0,-0.0
Chase De Jong,PIT,Reliever,26.766666666666666,61.16666666666666,2.083333333333333,-0.0166666666666666,10.183333333333334,-0.0,-0.0,-0.0
Chase Silseth,LAA,Reliever,27.866666666666664,63.1,-2.6933333333333334,-0.1,11.0,-0.0,-0.0,-0.0
Chasen Shreve,NYM,Reliever,36.475,77.475,-2.1750000000000003,-0.05,38.25,-0.0,-0.0,-0.0
Chi Chi Gonzalez,- - -,Reliever,26.5,68.8,-4.78,-0.2,9.4,-0.0,-0.0,-0.0
Chi Chi Gonzalez,MIL,Reliever,29.3,53.3,-1.16,-0.1,13.3,-1.8000000000000007,6.200000000000003,5.63
Chi Chi Gonzalez,NYY,Reliever,24.7,75.0,0.85,0.1,0.0,-4.600000000000001,21.700000000000003,2.01
Chris Archer,MIN,Starter,25.21666666666667,56.083333333333336,-0.7200000000000001,0.0833333333333333,6.25,-0.0,-0.0,-0.0
Chris Bassitt,NYM,Starter,29.416666666666668,61.46666666666667,2.25,0.4666666666666666,16.216666666666665,-0.0,-0.0,-0.0
Chris Devenski,ARI,Reliever,29.6,75.0,-0.855,0.0,20.45,-0.0,-0.0,-0.0
Chris Devenski,PHI,Reliever,29.9,78.9,-2.02,0.0,15.8,0.29999999999999716,3.9000000000000057,-1.165
