Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,NewTeamDeadline22,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
Cody Stashak,MIN,30.35,63.1,-1.155,0.2,24,Reliever,No,0,0,0,0,0
Cole Irvin,OAK,25.45,66.01666667,-0.555,0.266666667,12.3,Starter,No,0,0,0,0,0
Cole Ragans,TEX,22.25,60.05,-2.29,0.15,5.9,Reliever,No,0,0,0,0,0
Cole Sands,MIN,25.5,56.575,-1.53,-0.025,11.6,Reliever,No,0,0,0,0,0
Cole Sulser,MIA,28.7,63.28,-0.408,0,15.24,Reliever,No,0,0,0,0,0
Cole Waites,SFG,22.1,72,0.18,-0.1,0,Reliever,No,0,0,0,0,0
Colin Holderman,PIT,17.8,60.8,-2.13,-0.1,-2,Reliever,Yes,0,0,0,0,0
Colin Holderman,NYM,28.46666667,60.83333333,1.126666667,0.133333333,11.4,Reliever,Yes,10.66666667,0.033333333,3.256666667,0.233333333,13.4
Colin Poche,TBR,25.23333333,54.75,-0.52,-0.066666667,15.5,Reliever,No,0,0,0,0,0
Collin McHugh,ATL,28.9,64.91666667,3.003333333,0.233333333,23,Reliever,No,0,0,0,0,0
Collin Snider,KCR,25.16,50.7,-0.324,-0.02,4.34,Reliever,No,0,0,0,0,0
Collin Wiles,OAK,27.9,58.5,-0.9,0,17.1,Reliever,No,0,0,0,0,0
Conner Menez,CHC,20.8,20,0.25,0,20,Reliever,No,0,0,0,0,0
Connor Brogdon,PHI,29.83333333,64.88333333,0.593333333,0.1,20.58333333,Reliever,No,0,0,0,0,0
Connor Overton,CIN,24.9,63.86666667,2.84,0.233333333,2.8,Reliever,No,0,0,0,0,0
Connor Sadzeck,MIL,22.9,69.2,-1.55,-0.1,7.7,Reliever,No,0,0,0,0,0
Connor Seabold,BOS,26.13333333,61.26666667,-4.786666667,-0.066666667,12.63333333,Reliever,No,0,0,0,0,0
Cooper Criswell,TBR,37.8,84.6,0.01,0.1,23.1,Reliever,No,0,0,0,0,0
Corbin Burnes,MIL,32.31666667,57.41666667,4.621666667,0.75,24.38333333,Starter,No,0,0,0,0,0
Corbin Martin,ARI,24.93333333,58.7,-0.536666667,-0.033333333,5.666666667,Reliever,No,0,0,0,0,0
Corey Dickerson,STL,11.1,66.7,0.47,0,-16.7,Reliever,No,0,0,0,0,0
Corey Kluber,TBR,29.66666667,67.68333333,-1.54,0.516666667,17.21666667,Starter,No,0,0,0,0,0
Corey Knebel,PHI,26.68,56.62,-0.114,-0.02,6.42,Reliever,No,0,0,0,0,0
Cory Abbott,WSN,27.175,52.475,-1.295,-0.1,19.75,Reliever,No,0,0,0,0,0
Craig Kimbrel,LAD,29.93333333,63.63333333,-0.781666667,0.133333333,18.06666667,Reliever,No,0,0,0,0,0
Craig Stammen,SDP,28.18,59.26,-1.406,-0.06,16.08,Reliever,No,0,0,0,0,0
Cristian Javier,HOU,28.2,55.13333333,3.958333333,0.583333333,24.5,Starter,No,0,0,0,0,0
Cristofer Ogando,TBR,28.25,64.6,-0.015,0,5.55,Reliever,No,0,0,0,0,0
Cristopher Sanchez,PHI,25.75,56.26666667,-0.633333333,-0.016666667,12.43333333,Reliever,No,0,0,0,0,0
DL Hall,BAL,29.45,52.6,-2.83,0.2,19,Reliever,No,0,0,0,0,0
Dakota Hudson,STL,22.93333333,59.3,-0.368333333,0.15,2.866666667,Starter,No,0,0,0,0,0
Dallas Keuchel,ARI,25.35,48.8,-5.68,0,14.3,Starter,Yes,0,0,0,0,0
Dallas Keuchel,CHW,23.1,57.2,-9.49,-0.15,0.4,Starter,Yes,1.4,18.35,1.485,0.05,-7.8
Dallas Keuchel,TEX,26.75,67.15,-4.195,0.05,6.5,Starter,Yes,3.65,9.95,5.295,0.2,6.1
Damon Jones,PHI,26.7,38.5,-1.05,0,0,Reliever,No,0,0,0,0,0
Dane Dunning,TEX,27.71666667,59.38333333,-0.986666667,0.166666667,11.18333333,Starter,No,0,0,0,0,0
Daniel Bard,COL,31.18333333,59.3,2.703333333,0.316666667,18.81666667,Reliever,No,0,0,0,0,0
Daniel Castano,MIA,20.225,55.6,-1.0175,0,8.325,Reliever,No,0,0,0,0,0
Daniel Duarte,CIN,16.9,78.6,-2.55,-0.1,-7.1,Reliever,No,0,0,0,0,0
Daniel Hudson,LAD,27.76666667,53.23333333,1.87,0.266666667,25.83333333,Reliever,No,0,0,0,0,0
Daniel Lynch,KCR,25,58.28333333,-2.868333333,0.133333333,12.63333333,Starter,No,0,0,0,0,0
Daniel Mengden,KCR,29.55,74.6,-1.09,0.05,20.2,Reliever,No,0,0,0,0,0
Daniel Norris,CHC,31.25,54.175,-2.8725,-0.1,15.125,Reliever,Yes,0,0,0,0,0
Daniel Norris,DET,30.4,61.8,1.32,0,14.05,Reliever,Yes,-0.85,7.625,4.1925,0.1,-1.075
Danny Coulombe,MIN,24.3,61.25,1.38,0.05,-1.3,Reliever,No,0,0,0,0,0
Danny Young,SEA,42.7,85,-1.27,0,15,Reliever,Yes,0,0,0,0,0
Danny Young,ATL,33.3,66.7,1.31,0,8.3,Reliever,Yes,-9.4,-18.3,2.58,0,-6.7
Dany Jimenez,OAK,33.5,62.85,0.815,0.125,9.125,Reliever,No,0,0,0,0,0
Darick Hall,PHI,33.3,50,-0.5,0,0,Reliever,No,0,0,0,0,0
Darin Ruf,NYM,14.3,85.7,1.04,0,0,Reliever,No,0,0,0,0,0
Darren O'Day,ATL,26.3,64.6,-0.555,0.025,16.375,Reliever,No,0,0,0,0,0
Darwinzon Hernandez,BOS,28.75,48.6,-7.195,-0.25,1.2,Reliever,No,0,0,0,0,0
Daulton Jefferies,OAK,25.5,58.55,-4.375,0.2,11.45,Reliever,No,0,0,0,0,0
Dauri Moreta,CIN,28.41666667,59.28333333,-0.338333333,-0.066666667,20.46666667,Reliever,No,0,0,0,0,0
David Bednar,PIT,31.56,59.88,1.202,0.3,24.24,Reliever,No,0,0,0,0,0
David McKay,NYY,28.6,55.6,0.91,0,-11.1,Reliever,Yes,0,0,0,0,0
David McKay,- - -,20.4,60.9,-4.06,-0.1,0,Reliever,Yes,-8.2,5.3,-4.97,-0.1,11.1
David Peterson,NYM,27.8,51.35,-0.12,0.233333333,16.33333333,Starter,No,0,0,0,0,0
